SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation;County;nome_rete;annoInizio;annoFine;tipo
5675;Arabba;00003;46,49926;11,87637;1653;veneto;NESSUNA INFORMAZIONE RETE;1992;2020;site2
5680;Agordo;00019;46,27609;12,03251;588;veneto;NESSUNA INFORMAZIONE RETE;1992;2020;site2
5683;Sospirolo;00025;46,14025;12,07977;363;veneto;NESSUNA INFORMAZIONE RETE;1992;2020;site2
5699;Recoaro 1000;00077;45,67982;11,22594;913;veneto;NESSUNA INFORMAZIONE RETE;1992;2020;site2
5718;Salizzole;00108;45,23885;11,08626;22;veneto;NESSUNA INFORMAZIONE RETE;1993;2020;site2
5719;Cittadella;00110;45,66574;11,79122;57;veneto;NESSUNA INFORMAZIONE RETE;1993;2020;site2
5731;Trebaseleghe;00122;45,60680;12,02654;23;veneto;NESSUNA INFORMAZIONE RETE;1996;2020;site2
5717;Montagnana;00106;45,24286;11,46828;15;veneto;NESSUNA INFORMAZIONE RETE;1992;2020;sito3
