SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation;County;nome_rete;annoInizio;annoFine;tipo
9163;FORLIURB;08FORLIURB;44,219420;12,040860;32;emiliaromagna;Idrografica;1961;2020;site1
9224;MODENAURB;08MODENAURB;44,651910;10,915710;35;emiliaromagna;Idrografica;1961;2020;site1
9320;REGGIOEMILIAURB;08REGGIOEMILIAURB;44,690070;10,632390;59;emiliaromagna;Idrografica;1987;2019;site2
12702;Bologna Urbana;0811842;44,500754;11,328789;44;emiliaromagna;RETE EMILIA ROMAGNA TEMP;1961;2020;site1
14246;Ferrara urbana;OPENDATA114;44,832500;11,621140;9;emiliaromagna;RETE EMILIA ROMAGNA OPENDATA;1961;2020;site1
14354;Parma urbana;OPENDATA222;44,808000;10,330490;49;emiliaromagna;RETE EMILIA ROMAGNA OPENDATA;1961;2019;site1
