SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;cod_rete;comune;provincia;County;nome_rete;area;cod_reg;Comments;State;annoInizio;annoFine;tipo
6776;MONTE ARGENTARIO;161680;161680;42,383;11,167;631;11;MONTE ARGENTARIO;GROSSETO;TOSCANA;Sinottica;centro;9;NA;Italy;1962;2020;sito3
6777;FIRENZE/PERETOLA;161700;161700;43,800;11,200;38;11;FIRENZE;FIRENZE;TOSCANA;Sinottica;centro;9;NA;Italy;1965;2020;sito3
6779;AREZZO;161720;161720;43,467;11,850;249;11;AREZZO;AREZZO;TOSCANA;Sinottica;centro;9;NA;Italy;1961;2020;sito3
6782;FRONTONE;161790;161790;43,517;12,733;574;11;FRONTONE;PESARO E URBINO;MARCHE;Sinottica;centro;11;NA;Italy;1961;2020;sito3
6784;PERUGIA;161810;161810;43,083;12,500;205;11;BASTIA;PERUGIA;UMBRIA;Sinottica;centro;10;NA;Italy;1968;2020;sito3
6787;FALCONARA;161910;161910;43,617;13,367;10;11;FALCONARA MARITTIMA;ANCONA;MARCHE;Sinottica;centro;11;NA;Italy;1973;2020;sito3
6790;M. CALAMITA;161970;161970;42,733;10,400;397;11;CAPOLIVERI;LIVORNO;TOSCANA;Sinottica;centro;9;NA;Italy;1961;2020;sito3
6794;GROSSETO;162060;162060;42,750;11,067;7;11;GROSSETO;GROSSETO;TOSCANA;Sinottica;centro;9;NA;Italy;1961;2020;sito3
6795;CIVITAVECCHIA;162140;162140;42,033;11,833;4;11;CIVITAVECCHIA;ROMA;LAZIO;Sinottica;centro;12;NA;Italy;1961;2020;sito3
6797;VITERBO;162160;162160;42,433;12,050;308;11;VITERBO;VITERBO;LAZIO;Sinottica;centro;12;NA;Italy;1961;2020;sito3
6803;VIGNA DI VALLE;162240;162240;42,083;12,217;266;11;BRACCIANO;ROMA;LAZIO;Sinottica;centro;12;NA;Italy;1961;2020;sito3
6810;PESCARA;162300;162300;42,433;14,200;11;11;PESCARA;PESCARA;ABRUZZO;Sinottica;centro;13;NA;Italy;1966;2020;sito3
6812;TERMOLI;162320;162320;42,000;15,000;44;11;TERMOLI;CAMPOBASSO;MOLISE;Sinottica;centro;14;NA;Italy;1961;2020;sito3
6814;GUIDONIA;162340;162340;42,000;12,733;89;11;GUIDONIA MONTECELIO;ROMA;LAZIO;Sinottica;centro;12;NA;Italy;1961;2020;sito3
6815;ROMA/URBE;162350;162350;41,950;12,500;24;11;FIUMICINO;ROMA;LAZIO;Sinottica;centro;12;NA;Italy;1973;2020;sito3
6817;ROMA/CIAMPINO;162390;162390;41,783;12,583;105;11;FIUMICINO;ROMA;LAZIO;Sinottica;centro;12;NA;Italy;1961;2020;sito3
6819;ROMA FIUMICINO;162420;162420;41,800;12,233;3;11;FIUMICINO;ROMA;LAZIO;Sinottica;centro;12;NA;Italy;1966;2020;sito3
6820;LATINA;162430;162430;41,550;12,900;26;11;LATINA;LATINA;LAZIO;Sinottica;centro;12;NA;Italy;1961;2020;sito3
6821;FROSINONE;162440;162440;41,633;13,300;185;11;FROSINONE;FROSINONE;LAZIO;Sinottica;centro;12;NA;Italy;1961;2020;sito3
6822;PRATICA DI MARE;162450;162450;41,650;12,450;21;11;POMEZIA;ROMA;LAZIO;Sinottica;centro;12;NA;Italy;1961;2020;sito3
6826;CAMPOBASSO;162520;162520;41,567;14,650;807;11;CAMPOBASSO;CAMPOBASSO;MOLISE;Sinottica;centro;14;NA;Italy;1961;2020;sito3
6827;GRAZZANISE;162530;162530;41,050;14,067;10;11;CANCELLO ED ARNONE;CASERTA;CAMPANIA;Sinottica;sud;15;NA;Italy;1964;2020;sito3
6834;AMENDOLA;162610;162610;41,533;15,717;60;11;SAN GIOVANNI ROTONDO;FOGGIA;PUGLIA;Sinottica;sud;16;NA;Italy;1961;2020;sito3
6836;TREVICO;162630;162630;41,050;15,233;1093;11;TREVICO;AVELLINO;CAMPANIA;Sinottica;sud;15;NA;Italy;1961;2020;sito3
6839;BARI/PALESE MACCHIE;162700;162700;41,133;16,783;49;11;BARI;BARI;PUGLIA;Sinottica;sud;16;NA;Italy;1966;2020;sito3
6841;PONZA;162800;162800;40,917;12,950;185;11;PONZA;LATINA;LAZIO;Sinottica;centro;12;NA;Italy;1961;2020;sito3
6844;NAPOLI/CAPODICHINO;162890;162890;40,850;14,300;72;11;NAPOLI;NAPOLI;CAMPANIA;Sinottica;sud;15;NA;Italy;1967;2020;sito3
6847;CAPRI;162940;162940;40,550;14,200;161;11;ANACAPRI;NAPOLI;CAMPANIA;Sinottica;sud;15;NA;Italy;1962;2020;sito3
6850;CAPO PALINURO;163100;163100;40,017;15,283;185;11;CENTOLA;SALERNO;CAMPANIA;Sinottica;sud;15;NA;Italy;1961;2020;sito3
6851;GIOIA DEL COLLE;163120;163120;40,767;16,933;350;11;GIOIA DEL COLLE;BARI;PUGLIA;Sinottica;sud;16;NA;Italy;1961;2020;sito3
6856;BRINDISI;163200;163200;40,650;17,950;10;11;BRINDISI;BRINDISI;PUGLIA;Sinottica;sud;16;NA;Italy;1961;2020;sito3
6857;GROTTAGLIE;163240;163240;40,517;17,400;69;11;GROTTAGLIE;TARANTO;PUGLIA;Sinottica;sud;16;NA;Italy;1973;2020;sito3
6858;MARINA DI GINOSA;163250;163250;40,433;16,883;12;11;GINOSA;TARANTO;PUGLIA;Sinottica;sud;16;NA;Italy;1968;2020;sito3
6859;LECCE;163320;163320;40,233;18,150;61;11;GALATINA;LECCE;PUGLIA;Sinottica;sud;16;NA;Italy;1961;2020;sito3
6863;BONIFATI;163370;163370;39,583;15,883;485;11;BONIFATI;COSENZA;CALABRIA;Sinottica;sud;18;NA;Italy;1962;2020;sito3
6865;MONTE SCURO;163440;163440;39,333;16,400;1720;11;CELICO;COSENZA;CALABRIA;Sinottica;sud;18;NA;Italy;1962;2020;sito3
6867;CROTONE;163500;163500;39,000;17,067;161;11;ISOLA DI CAPO RIZZUTO;CROTONE;CALABRIA;Sinottica;sud;18;NA;Italy;1965;2020;sito3
