SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;County;Comments;Precipitation.start;Precipitation.end;Tmax.start;Tmax.end;Tmin.start;Tmin.end;nome_rete;annoInizio;annoFine;tipo
223;Croce Arcana;TOS02000372;OD:TOS02000372;44,131916;10,778274;1663;Italy;Toscana;Quota ricavata da dem;1996;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1999;2020;sito3
229;Convalle;TOS02000483;OD:TOS02000483;43,937471;10,417144;353;Italy;Toscana;Quota ricavata da dem;1996;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1996;2020;sito3
247;Ponte di Campia;TOS02004165;OD:TOS02004165;44,090525;10,453248;238;Italy;Toscana;Quota ricavata da dem;NA;NA;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1996;2020;sito3
248;Calavorno;TOS02004195;OD:TOS02004195;44,021363;10,531037;141;Italy;Toscana;Quota ricavata da dem;NA;NA;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1997;2020;sito3
251;Ponte di Lucchio;TOS02004231;OD:TOS02004231;44,045525;10,717994;482;Italy;Toscana;Quota ricavata da dem;NA;NA;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1996;2020;sito3
252;Chifenti;TOS02004255;OD:TOS02004255;44,007322;10,563969;157;Italy;Toscana;Quota ricavata da dem;NA;NA;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1996;2020;sito3
257;Ponte Guido;TOS02004305;OD:TOS02004305;43,859119;10,436814;30;Italy;Toscana;Quota ricavata da dem;NA;NA;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1997;2020;sito3
259;Pontetetto;TOS02004315;OD:TOS02004315;43,823430;10,494269;14;Italy;Toscana;Quota ricavata da dem;NA;NA;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1997;2020;sito3
262;Bocca di Serchio;TOS02004369;OD:TOS02004369;43,781265;10,269991;2;Italy;Toscana;Quota ricavata da dem;NA;NA;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1996;2020;sito3
379;Pietrasanta;TOS10000090;OD:TOS10000090;43,940940;10,237099;6;Italy;Toscana;Quota ricavata da dem;1924;2013;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2018;sito3
416;Isola Santa;TOS10000250;OD:TOS10000250;44,067086;10,315370;828;Italy;Toscana;Quota ricavata da dem;1952;2015;1991;1993;1991;1993;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
469;Asciano Pisano;TOS10000530;OD:TOS10000530;43,752416;10,473658;183;Italy;Toscana;Quota ricavata da dem;1916;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
686;Fattoria Scaletta;TOS10001500;OD:TOS10001500;43,709147;10,831991;19;Italy;Toscana;Quota ricavata da dem;1962;2015;1992;2015;1992;2015;NESSUNA INFORMAZIONE RETE;1962;2020;sito3
767;Casacce;TOS10001990;OD:TOS10001990;43,445459;10,508943;49;Italy;Toscana;Quota ricavata da dem;1951;2015;1992;2015;1992;2015;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
827;Populonia;TOS10002300;OD:TOS10002300;42,990162;10,490456;127;Italy;Toscana;Quota ricavata da dem;1951;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
860;Roccastrada;TOS10002530;OD:TOS10002530;43,011494;11,169470;430;Italy;Toscana;Quota ricavata da dem;1916;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
867;Acquisti;TOS10002580;OD:TOS10002580;42,848331;11,060416;5;Italy;Toscana;Quota ricavata da dem;1936;2015;1992;1992;1992;1992;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
927;La Foce;TOS10002860;OD:TOS10002860;43,017539;11,780613;570;Italy;Toscana;Quota ricavata da dem;1936;2015;1992;2015;1992;2015;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
929;Pienza (Madonnina);TOS10002880;OD:TOS10002880;43,079112;11,679479;455;Italy;Toscana;Quota ricavata da dem;1922;2015;1930;1997;1930;1997;NESSUNA INFORMAZIONE RETE;1961;2020;sito3
